,log_carat,cut_encoded,clarity_encoded,color_encoded,table,depth_ws,price
0,0.20701416938432615,4.0,1.0,1.0,55.0,61.5,326
1,0.19062035960864973,3.0,2.0,1.0,61.0,59.8,326
2,0.20701416938432615,1.0,4.0,1.0,65.0,58.75,327
3,0.2546422183735807,3.0,3.0,5.0,58.0,62.4,334
4,0.27002713721306015,1.0,1.0,6.0,58.0,63.3,335
5,0.2151113796169455,2.0,5.0,6.0,57.0,62.8,336
6,0.2151113796169455,2.0,6.0,5.0,57.0,62.3,336
7,0.23111172096338664,2.0,2.0,4.0,55.0,61.9,337
8,0.1988508587451652,0.0,3.0,1.0,61.0,64.75,337
9,0.20701416938432615,2.0,4.0,4.0,61.0,59.4,338
10,0.262364264467491,1.0,2.0,6.0,55.0,64.0,339
11,0.20701416938432615,4.0,4.0,6.0,56.0,62.8,340
12,0.1988508587451652,3.0,2.0,2.0,61.0,60.4,342
13,0.27002713721306015,4.0,1.0,6.0,54.0,62.2,344
14,0.18232155679395465,3.0,1.0,1.0,62.0,60.2,345
15,0.2776317365982795,3.0,0.0,1.0,58.0,60.9,345
16,0.262364264467491,4.0,1.0,5.0,54.0,62.0,348
17,0.262364264467491,1.0,2.0,6.0,54.0,63.4,351
18,0.262364264467491,1.0,2.0,6.0,56.0,63.8,351
19,0.262364264467491,2.0,2.0,6.0,59.0,62.7,351
20,0.262364264467491,1.0,1.0,5.0,56.0,63.3,351
21,0.20701416938432615,2.0,3.0,1.0,55.0,63.8,352
22,0.20701416938432615,2.0,4.0,4.0,57.0,61.0,353
23,0.27002713721306015,2.0,2.0,6.0,62.0,59.4,353
24,0.27002713721306015,2.0,2.0,6.0,62.0,58.75,353
25,0.20701416938432615,2.0,5.0,3.0,58.0,60.4,354
26,0.2151113796169455,3.0,4.0,5.0,57.0,62.5,355
27,0.262364264467491,2.0,3.0,6.0,57.0,62.2,357
28,0.20701416938432615,2.0,3.0,0.0,61.0,60.5,357
29,0.20701416938432615,2.0,4.0,2.0,57.0,60.9,357
30,0.20701416938432615,2.0,4.0,2.0,57.0,60.0,402
31,0.20701416938432615,2.0,4.0,2.0,57.0,59.8,402
32,0.20701416938432615,2.0,4.0,1.0,59.0,60.7,402
33,0.20701416938432615,2.0,4.0,1.0,58.0,59.5,402
34,0.20701416938432615,2.0,4.0,0.0,58.0,61.9,402
35,0.20701416938432615,1.0,4.0,2.0,59.0,58.75,402
36,0.20701416938432615,1.0,4.0,1.0,59.0,64.1,402
37,0.27002713721306015,1.0,2.0,4.0,54.0,64.0,402
38,0.23111172096338664,2.0,3.0,0.0,59.0,60.8,403
39,0.2851789422336624,4.0,1.0,5.0,55.0,61.8,403
40,0.2851789422336624,4.0,1.0,5.0,56.0,61.2,403
41,0.2851789422336624,4.0,2.0,6.0,56.0,61.1,403
42,0.23111172096338664,1.0,3.0,0.0,56.0,64.75,403
43,0.23111172096338664,1.0,4.0,0.0,63.0,58.75,403
44,0.2776317365982795,1.0,1.0,4.0,56.0,63.1,403
45,0.2546422183735807,3.0,2.0,2.0,58.0,62.4,403
46,0.2776317365982795,2.0,1.0,4.0,55.0,61.8,403
47,0.2776317365982795,1.0,1.0,4.0,56.0,63.8,403
48,0.22314355131420976,2.0,3.0,1.0,60.0,63.3,404
49,0.2546422183735807,2.0,1.0,4.0,60.0,60.7,404
50,0.2151113796169455,2.0,2.0,2.0,61.0,60.9,404
51,0.20701416938432615,4.0,4.0,3.0,54.0,61.9,404
52,0.2776317365982795,4.0,2.0,5.0,55.0,60.9,404
53,0.1988508587451652,3.0,3.0,1.0,58.0,61.6,404
54,0.1988508587451652,3.0,3.0,0.0,62.0,59.3,404
55,0.262364264467491,4.0,1.0,5.0,59.0,61.0,405
56,0.262364264467491,3.0,1.0,6.0,61.0,59.3,405
57,0.262364264467491,2.0,2.0,5.0,57.0,62.6,405
58,0.262364264467491,2.0,2.0,5.0,57.0,63.0,405
59,0.262364264467491,1.0,2.0,5.0,55.0,63.2,405
60,0.3001045924503381,4.0,4.0,5.0,57.0,60.9,552
61,0.262364264467491,3.0,2.0,0.0,59.0,62.6,552
62,0.262364264467491,4.0,2.0,0.0,57.0,62.5,552
63,0.262364264467491,4.0,2.0,0.0,56.0,62.1,552
64,0.3506568716131694,3.0,1.0,5.0,59.0,61.5,552
65,0.2468600779315258,4.0,5.0,3.0,56.0,61.4,553
66,0.2776317365982795,4.0,6.0,5.0,55.3,62.0,553
67,0.27002713721306015,2.0,2.0,3.0,57.0,63.3,553
68,0.27002713721306015,3.0,2.0,3.0,58.0,61.8,553
69,0.2151113796169455,3.0,6.0,1.0,58.0,60.7,553
70,0.2151113796169455,2.0,6.0,0.0,60.0,61.5,553
71,0.262364264467491,2.0,2.0,4.0,56.0,63.1,554
72,0.262364264467491,3.0,2.0,4.0,59.0,62.9,554
73,0.262364264467491,3.0,2.0,4.0,57.0,62.5,554
74,0.262364264467491,1.0,2.0,4.0,57.0,63.7,554
75,0.23111172096338664,2.0,5.0,2.0,60.0,59.2,554
76,0.23111172096338664,2.0,5.0,1.0,58.0,59.9,554
77,0.23111172096338664,2.0,5.0,0.0,54.0,62.4,554
78,0.23111172096338664,2.0,5.0,0.0,60.0,62.8,554
79,0.23111172096338664,2.0,6.0,1.0,59.0,62.6,554
80,0.23111172096338664,2.0,6.0,1.0,59.0,63.4,554
81,0.23111172096338664,2.0,6.0,0.0,60.0,62.1,554
82,0.23111172096338664,4.0,5.0,1.0,58.0,62.9,554
83,0.3220834991691133,4.0,1.0,5.0,56.0,61.6,554
84,0.23111172096338664,1.0,6.0,1.0,60.0,58.75,554
85,0.2151113796169455,3.0,6.0,3.0,59.0,62.3,554
86,0.2151113796169455,3.0,6.0,4.0,58.0,61.2,554
87,0.2151113796169455,3.0,6.0,4.0,59.0,60.8,554
88,0.2151113796169455,3.0,5.0,4.0,58.0,60.7,554
89,0.2776317365982795,3.0,2.0,5.0,58.0,62.9,554
90,0.5306282510621704,4.0,2.0,1.0,57.0,62.5,2757
91,0.6205764877251099,0.0,1.0,1.0,69.0,58.75,2757
92,0.5306282510621704,4.0,3.0,3.0,56.0,61.6,2757
93,0.5364933705145685,2.0,3.0,1.0,57.0,62.4,2759
94,0.5766133643039938,2.0,1.0,3.0,56.0,63.8,2759
95,0.5306282510621704,1.0,3.0,1.0,58.0,58.75,2759
96,0.5306282510621704,1.0,4.0,2.0,62.0,59.4,2759
97,0.6729444732424258,0.0,1.0,2.0,62.0,64.75,2759
98,0.5481214085096876,2.0,2.0,1.0,59.0,61.6,2760
99,0.5877866649021191,3.0,2.0,4.0,58.0,61.5,2760
100,0.5596157879354227,2.0,2.0,0.0,56.0,63.2,2760
101,0.5596157879354227,3.0,2.0,1.0,54.0,59.9,2760
102,0.5538851132264376,4.0,2.0,3.0,55.0,61.6,2760
103,0.5596157879354227,3.0,3.0,3.0,58.0,61.7,2760
104,0.5877866649021191,4.0,4.0,5.0,56.0,62.9,2760
105,0.5596157879354227,4.0,2.0,3.0,55.0,62.2,2760
106,0.5877866649021191,3.0,2.0,3.0,59.0,63.0,2760
107,0.5538851132264376,4.0,5.0,5.0,55.0,62.3,2761
108,0.5933268452777344,4.0,1.0,2.0,57.0,58.8,2761
109,0.4637340162321401,4.0,5.0,1.0,55.0,62.0,2761
110,0.5877866649021191,4.0,1.0,2.0,57.0,61.4,2761
111,0.5538851132264376,4.0,1.0,1.0,56.0,62.2,2761
112,0.6418538861723948,3.0,3.0,5.0,58.0,63.0,2761
113,0.5538851132264376,2.0,2.0,3.0,59.0,62.2,2762
114,0.5481214085096876,4.0,3.0,2.0,56.0,62.6,2762
115,0.5481214085096876,4.0,3.0,2.0,53.0,62.7,2762
116,0.5877866649021191,3.0,1.0,2.0,58.0,61.7,2762
117,0.5364933705145685,4.0,3.0,3.0,54.0,62.4,2762
118,0.5306282510621704,4.0,3.0,1.0,58.0,60.7,2762
119,0.5877866649021191,4.0,1.0,2.0,59.0,59.9,2762
120,0.5364933705145685,4.0,1.0,0.0,56.0,62.3,2762
121,0.5538851132264376,4.0,2.0,1.0,54.0,62.3,2762
122,0.5306282510621704,2.0,3.0,2.0,63.0,61.7,2762
123,0.5306282510621704,0.0,3.0,2.0,57.0,64.5,2762
124,0.5306282510621704,0.0,3.0,2.0,55.0,64.75,2762
125,0.5306282510621704,3.0,3.0,2.0,60.0,61.6,2762
126,0.6471032420585384,3.0,2.0,4.0,56.0,61.4,2763
127,0.4762341789963716,2.0,5.0,0.0,57.0,59.6,2763
128,0.6471032420585384,0.0,1.0,4.0,57.0,64.4,2763
129,0.6471032420585384,0.0,1.0,4.0,60.0,64.75,2763
130,0.5709795465857378,4.0,3.0,4.0,56.0,62.0,2763
131,0.5364933705145685,2.0,2.0,0.0,58.0,63.6,2764
132,0.5364933705145685,4.0,2.0,0.0,59.0,61.9,2764
133,0.5306282510621704,2.0,3.0,1.0,60.0,62.6,2765
134,0.5709795465857378,2.0,4.0,4.0,60.0,61.3,2765
135,0.48858001481867097,3.0,6.0,1.0,60.0,60.9,2765
136,0.5364933705145685,2.0,4.0,2.0,62.0,60.1,2765
137,0.5364933705145685,3.0,4.0,2.0,59.0,61.8,2765
138,0.5653138090500605,4.0,2.0,4.0,57.0,61.2,2765
139,0.49469624183610705,4.0,6.0,3.0,56.0,61.9,2766
140,0.5364933705145685,3.0,3.0,3.0,57.0,60.9,2766
141,0.5364933705145685,3.0,3.0,3.0,56.0,59.8,2766
142,0.5306282510621704,2.0,3.0,0.0,55.0,61.8,2767
143,0.5306282510621704,2.0,4.0,2.0,57.0,60.0,2767
144,0.5364933705145685,4.0,1.0,0.0,55.0,61.6,2767
145,0.5306282510621704,1.0,5.0,4.0,64.0,62.1,2767
146,0.5364933705145685,2.0,4.0,3.0,59.0,63.3,2768
